Psi,Theta
0.1,0.447648981
0.2,0.447642881
0.3,0.447633211
0.4,0.447620118
0.5,0.447603702
0.7,0.447561185
0.8,0.447535195
0.9,0.447506112
1,0.447473973
2,0.44699084
3,0.446228201
4,0.445201949
5,0.44392539
6,0.442410942
7,0.440670764
8,0.438717002
9,0.436561884
10,0.434217734
20,0.403063267
30,0.365331992
40,0.328223671
50,0.294879489
60,0.266059988
70,0.241503182
80,0.220625344
90,0.202812727
100,0.187521686
200,0.106569768
300,0.07491384
400,0.058091931
500,0.047626992
600,0.040468979
700,0.035253092
800,0.031276643
900,0.02814056
1000,0.02560115
2000,0.013730653
3000,0.009534099
4000,0.007359705
5000,0.006020791
6000,0.005109721
7000,0.004447841
8000,0.003944203
9000,0.003547512
10000,0.003226588
50000,0.000758012
100000,0.000406209
200000,0.000217682
300000,0.000151126
400000,0.000116653
,
,
,
,
,
,
,
,
